status,proxy_action
100,allowed
101,allowed
102,allowed
200,allowed
201,allowed
202,allowed
203,allowed
204,allowed
205,allowed
206,allowed
207,allowed
208,allowed
226,allowed
300,allowed
301,allowed
302,allowed
303,allowed
304,allowed
305,allowed
306,allowed
307,allowed
308,allowed
400,blocked
401,blocked
402,blocked
403,blocked
404,blocked
405,blocked
406,blocked
407,blocked
408,blocked
409,blocked
410,blocked
411,blocked
412,blocked
413,blocked
414,blocked
415,blocked
416,blocked
417,blocked
418,blocked
419,blocked
420,blocked
422,blocked
423,blocked
424,blocked
425,blocked
426,blocked
428,blocked
429,blocked
431,blocked
444,blocked
449,blocked
450,blocked
451,blocked
451,blocked
494,blocked
495,blocked
496,blocked
497,blocked
499,blocked
500,blocked
501,blocked
502,blocked
503,blocked
504,blocked
505,blocked
506,blocked
507,blocked
508,blocked
509,blocked
510,blocked
511,blocked
598,blocked
599,blocked
